Artist,Title,Sale Price,Original Price,Description
Dean Blunt, Black Metal 2 (180g) Vinyl LP - PRE-ORDER,25.95,28.98,"deadpan, folky art rock from Hype Williams & Blue Iverson conspirator"
Autechre," Vinyl LP Album Pack (Chiastic Slide, LP5) - PRE-ORDER",61.95,63.90,"two influential late 90s IDM classics, first time vinyl reissues"
Pastor T. L. Barrett And The Youth For Christ Choir, I Shall Wear A Crown (Indie Exclusive Colored Vinyl) Vinyl 5LP Boxset,92.95,99.98,"complete works from Chicago preacher & gospel musician sampled by Kanye, Nico Jaar + others"
Pastor T. L. Barrett And The Youth For Christ Choir, I Shall Wear A Crown Vinyl 5LP Boxset,84.95,89.98,"complete works from Chicago preacher & gospel musician sampled by Kanye, Nico Jaar + others"
Hye-Jin Park, Before I Die (Colored Vinyl) Vinyl LP,25.95,28.98,"South Korean DJ, producer, rapper, singer's debut long player"
The Charlatans, The Charlatans (Colored Vinyl) Vinyl 2LP,26.95,28.95,"missing link btwn Britpop + Madchester, 1st time on vinyl in 25+ years"
Numero Group, Numero 95 (Colored Vinyl) Vinyl LP,27.95,29.95,ambient & proto-vaporwave rarities w/ unique floppy diskette packaging
Dry Cleaning, New Long Leg Vinyl LP,23.95,26.95,"contemporary post-punk from London, produced by John Parish"
Major Lazer, Essentials Vinyl 3LP,42.95,44.95,"all the hits from Diplo's global dancehall / electronic group, ft. Travis Scott, Bieber, Vybz Kartel + more"
Devendra Banhart & Noah Georgeson, Refuge (Colored Vinyl) Vinyl 2LP,31.95,33.98,ambient + new age-influenced collaboration
Pavement, Wowee Zowee Vinyl 2LP,27.95,29.99,experimental 3rd album from California indie band
Muse, Origin Of Symmetry XX Anniversary RemiXX Vinyl 2LP,29.95,31.95,"remixed + remastered w/ alternate artwork, includes rare bonus track"
Greg Belson, Divine Funk - Rare American Gospel Soul & Funk Vinyl LP,23.98,25.98,🙌 highly rare gospel funk compiled by seasoned DJ/collector Greg Belson
Xavier Omar, If You Feel (Colored Vinyl) Vinyl LP,25.98,27.98,acclaimed nu-R&B from Texas-via-Cali singer
